dist|perl-5.29.4.author|perl-5.29.4.distname|perl-5.29.4.distversion|perl-5.29.4.grade
Class-Accessor-Grouped|HAARG|Class-Accessor-Grouped-0.10014|0.10014|PASS
Class-Accessor-Installer|MARCEL|Class-Accessor-Installer-1.100880|1.100880|PASS
Class-Accessor-Lite|KAZUHO|Class-Accessor-Lite-0.08|0.08|PASS
Class-Accessor-Lite-Lazy|MOTEMEN|Class-Accessor-Lite-Lazy-0.03|0.03|PASS
Class-Accessor-Lvalue|RCLAMP|Class-Accessor-Lvalue-0.11|0.11|PASS
Class-Accessor-Named|JESSE|Class-Accessor-Named-0.009|0.009|PASS
Class-Adapter|ETHER|Class-Adapter-1.09|1.09|PASS
Class-AutoloadCAN|TILLY|Class-AutoloadCAN-0.03|0.03|PASS
Class-Autouse|ADAMK|Class-Autouse-2.01|2.01|PASS
Class-Base|YANICK|Class-Base-0.09|0.09|PASS
Class-C3|HAARG|Class-C3-0.34|0.34|PASS
Class-C3-Adopt-NEXT|ETHER|Class-C3-Adopt-NEXT-0.14|0.14|PASS
Class-C3-Componentised|HAARG|Class-C3-Componentised-1.001002|1.001002|PASS
Class-Component|YAPPO|Class-Component-0.17|0.17|PASS
Class-Container|KWILLIAMS|Class-Container-0.13|0.13|PASS
Class-DBI|TMTM|Class-DBI-v3.0.17|v3.0.17|PASS
Class-DBI-AbstractSearch|MIYAGAWA|Class-DBI-AbstractSearch-0.07|0.07|PASS
Class-DBI-AsForm|TMTM|Class-DBI-AsForm-2.42|2.42|FAIL
Class-DBI-DATA-Schema|TMTM|Class-DBI-DATA-Schema-1.00|1.00|FAIL
Class-DBI-FromForm|MRAMBERG|Class-DBI-FromForm-0.04|0.04|PASS
Class-DBI-Loader|DMAKI|Class-DBI-Loader-0.34|0.34|PASS
Class-DBI-Loader-Relationship|SIMON|Class-DBI-Loader-Relationship-1.2|1.2|PASS
Class-DBI-Pager|MIYAGAWA|Class-DBI-Pager-0.08|0.08|PASS
Class-DBI-Pg|DMAKI|Class-DBI-Pg-0.08|0.08|PASS
Class-DBI-Plugin|JCZEUS|Class-DBI-Plugin-0.03|0.03|PASS
Class-DBI-Plugin-RetrieveAll|TMTM|Class-DBI-Plugin-RetrieveAll-1.04|1.04|PASS
Class-DBI-Plugin-Type|SIMON|Class-DBI-Plugin-Type-0.02|0.02|PASS
Class-DBI-SQLite|MIYAGAWA|Class-DBI-SQLite-0.11|0.11|PASS
Class-Data-Accessor|CLACO|Class-Data-Accessor-0.04004|0.04004|PASS
Class-Data-ConfigHash|DMAKI|Class-Data-ConfigHash-0.00002|0.00002|PASS
Class-Data-Inheritable|TMTM|Class-Data-Inheritable-0.08|0.08|PASS
Class-Date|YANICK|Class-Date-1.1.17|1.1.17|PASS
Class-Default|ADAMK|Class-Default-1.51|1.51|PASS
Class-Discover|ASH|Class-Discover-1.000003|1.000003|PASS
Class-Dot|ASKSH|Class-Dot-1.5.0|1.5.0|PASS
Class-Easy|APLA|Class-Easy-0.18|0.18|PASS
Class-ErrorHandler|TOKUHIROM|Class-ErrorHandler-0.04|0.04|PASS
Class-Factory|PHRED|Class-Factory-1.06|1.06|PASS
Class-Factory-Enhanced|MARCEL|Class-Factory-Enhanced-1.101420|1.101420|PASS
Class-Factory-Util|DROLSKY|Class-Factory-Util-1.7|1.7|PASS
Class-Field|INGY|Class-Field-0.23|0.23|PASS
Class-Fields|MSCHWERN|Class-Fields-0.204|0.204|PASS
Class-Gomor|GOMOR|Class-Gomor-1.03|1.03|PASS
Class-Handle|ADAMK|Class-Handle-1.07|1.07|PASS
Class-ISA|SMUELLER|Class-ISA-0.36|0.36|PASS
Class-Inner|ARUNBEAR|Class-Inner-0.200001|0.200001|PASS
Class-InsideOut|DAGOLDEN|Class-InsideOut-1.14|1.14|PASS
Class-Inspector|PLICEASE|Class-Inspector-1.32|1.32|PASS
Class-Iterator|TEXMEC|Class-Iterator-0.3|0.3|PASS
Class-Load|ETHER|Class-Load-0.25|0.25|PASS
Class-Load-XS|ETHER|Class-Load-XS-0.10|0.10|PASS
Class-Loader|VIPUL|Class-Loader-2.03|2.03|PASS
Class-MakeMethods|EVO|Class-MakeMethods-1.01|1.01|FAIL
Class-Member|OPI|Class-Member-1.6|1.6|PASS
Class-Method-Modifiers|ETHER|Class-Method-Modifiers-2.12|2.12|PASS
Class-Method-Modifiers-Fast|KITANO|Class-Method-Modifiers-Fast-0.041|0.041|PASS
Class-MethodMaker|SCHWIGON|Class-MethodMaker-2.24|2.24|PASS
Class-Mix|ZEFRAM|Class-Mix-0.006|0.006|PASS
Class-MixinFactory|EVO|Class-MixinFactory-0.92|0.92|PASS
Class-Null|MARCEL|Class-Null-2.110730|2.110730|PASS
Class-ParmList|SNOWHARE|Class-ParmList-1.05|1.05|PASS
Class-Prototyped|TEVERETT|Class-Prototyped-1.13|1.13|PASS
Class-Publisher|SIMONFLK|Class-Publisher-0.2|0.2|PASS
Class-ReturnValue|JESSE|Class-ReturnValue-0.55|0.55|PASS
Class-Roles|CHROMATIC|Class-Roles-0.30|0.30|PASS
Class-Singleton|SHAY|Class-Singleton-1.5|1.5|PASS
Class-Std|CHORNY|Class-Std-0.013|0.013|PASS
Class-Std-Fast|ACID|Class-Std-Fast-v0.0.8|v0.0.8|PASS
Class-Std-Utils|DMUEY|Class-Std-Utils-v0.0.3|v0.0.3|PASS
Class-Throwable|KMX|Class-Throwable-0.13|0.13|PASS
Class-Tiny|DAGOLDEN|Class-Tiny-1.006|1.006|PASS
Class-Tiny-Chained|DBOOK|Class-Tiny-Chained-0.004|0.004|PASS
Class-Trait|OVID|Class-Trait-0.31|0.31|FAIL
Class-Trigger|MIYAGAWA|Class-Trigger-0.14|0.14|PASS
Class-Unload|ILMARI|Class-Unload-0.11|0.11|PASS
Class-Utils|SKIM|Class-Utils-0.08|0.08|PASS
Class-Virtual|MSCHWERN|Class-Virtual-0.08|0.08|PASS
Class-XSAccessor|SMUELLER|Class-XSAccessor-1.19|1.19|PASS
Clipboard|KING|Clipboard-0.13|0.13|PASS
Clone|GARU|Clone-0.39|0.39|PASS
Clone-Choose|HERMES|Clone-Choose-0.010|0.010|PASS
Clone-PP|NEILB|Clone-PP-1.07|1.07|PASS
Clownfish|NWELLNHOF|Clownfish-0.6.3|0.6.3|PASS
Clownfish-CFC|NWELLNHOF|Clownfish-CFC-0.6.3|0.6.3|PASS
Color-ANSI-Util|PERLANCAR|Color-ANSI-Util-0.161|0.161|PASS
Color-Library|ROKR|Color-Library-0.021|0.021|PASS
Color-RGB-Util|PERLANCAR|Color-RGB-Util-0.593|0.593|PASS
Color-Scheme|RJBS|Color-Scheme-1.07|1.07|PASS
Color-Theme-Role|PERLANCAR|Color-Theme-Role-0.020|0.020|PASS
Command-Runner|SKAJI|Command-Runner-0.101|0.101|PASS
Compiler-Lexer|GOCCY|Compiler-Lexer-0.22|0.22|PASS
Complete-Common|PERLANCAR|Complete-Common-0.22|0.22|PASS
Complete-Util|PERLANCAR|Complete-Util-0.600|0.600|PASS
Compress-Bzip2|RURBAN|Compress-Bzip2-2.26|2.26|PASS
Compress-LZF|MLEHMANN|Compress-LZF-3.8|3.8|PASS
Compress-Raw-Lzma|PMQS|Compress-Raw-Lzma-2.082|2.082|PASS
Compress-Snappy|GRAY|Compress-Snappy-0.24|0.24|PASS
Config-Any|HAARG|Config-Any-0.32|0.32|PASS
Config-Augeas|RAPHINK|Config-Augeas-1.000|1.000|PASS
Config-Auto|BINGOS|Config-Auto-0.44|0.44|PASS
Config-AutoConf|REHSACK|Config-AutoConf-0.317|0.317|PASS
Config-Find|SALVA|Config-Find-0.31|0.31|PASS
Config-General|TLINDEN|Config-General-2.63|2.63|PASS
Config-GitLike|ALEXMV|Config-GitLike-1.17|1.17|PASS
Config-INI|RJBS|Config-INI-0.025|0.025|PASS
Config-INI-Reader-Ordered|RJBS|Config-INI-Reader-Ordered-0.020|0.020|PASS
Config-INI-Serializer|SCHWIGON|Config-INI-Serializer-0.002|0.002|PASS
Config-Identity|DAGOLDEN|Config-Identity-0.0019|0.0019|PASS
Config-IniFiles|SHLOMIF|Config-IniFiles-3.000000|3.000000|PASS
Config-JFDI|ROKR|Config-JFDI-0.065|0.065|PASS
Config-JSON|RIZEN|Config-JSON-1.5202|1.5202|PASS
Config-MVP|RJBS|Config-MVP-2.200011|2.200011|PASS
Config-MVP-Reader-INI|RJBS|Config-MVP-Reader-INI-2.101463|2.101463|PASS
Config-MVP-Slicer|RWSTAUNER|Config-MVP-Slicer-0.303|0.303|PASS
Config-MethodProxy|BLUEFEET|Config-MethodProxy-0.02|0.02|PASS
Config-MySQL|IARNELL|Config-MySQL-0.02|0.02|PASS
Config-Onion|DSHEROH|Config-Onion-1.007|1.007|PASS
Config-Options|EALLENIII|Config-Options-0.08|0.08|PASS
Config-Processor|IPH|Config-Processor-0.28|0.28|PASS
Config-Properties|SALVA|Config-Properties-1.80|1.80|PASS
Config-Simple|SHERZODR|Config-Simple-4.58|4.58|PASS
Config-Std|BRICKER|Config-Std-0.903|0.903|PASS
Config-Tiny|RSAVAGE|Config-Tiny-2.23|2.23|PASS
Config-Tiny-Ordered|RSAVAGE|Config-Tiny-Ordered-1.02|1.02|PASS
Config-YAML|MDXI|Config-YAML-1.42|1.42|PASS
Config-ZOMG|FREW|Config-ZOMG-1.000000|1.000000|PASS
ConfigReader-Simple|BDFOY|ConfigReader-Simple-1.293|1.293|PASS
Const-Common|SONGMU|Const-Common-0.01|0.01|PASS
Const-Exporter|RRWO|Const-Exporter-v0.4.1|v0.4.1|PASS
Const-Fast|LEONT|Const-Fast-0.014|0.014|PASS
Constant-FromGlobal|NEILB|Constant-FromGlobal-0.09|0.09|PASS
Constant-Generate|MNUNBERG|Constant-Generate-0.17|0.17|PASS
Context-Preserve|ETHER|Context-Preserve-0.03|0.03|PASS
Contextual-Return|DCONWAY|Contextual-Return-0.004014|0.004014|PASS
Convert-ASN1|GBARR|Convert-ASN1-0.27|0.27|PASS
Convert-Base32|IKEGAMI|Convert-Base32-0.06|0.06|PASS
Convert-Base32-Crockford|INGY|Convert-Base32-Crockford-0.16|0.16|PASS
Convert-Base64|ROBN|Convert-Base64-0.001|0.001|PASS
Convert-Color|PEVANS|Convert-Color-0.11|0.11|PASS
Convert-Moji|BKB|Convert-Moji-0.10|0.10|PASS
Convert-NLS_DATE_FORMAT|KOLIBRIE|Convert-NLS_DATE_FORMAT-0.06|0.06|PASS
Convert-Scalar|MLEHMANN|Convert-Scalar-1.12|1.12|PASS
Convert-UU|ANDK|Convert-UU-0.5201|0.5201|PASS
Cookie-Baker|KAZEBURO|Cookie-Baker-0.10|0.10|PASS
Coro|MLEHMANN|Coro-6.52|6.52|PASS
Corona|MIYAGAWA|Corona-0.1004|0.1004|PASS
CouchDB-Client|MAVERICK|CouchDB-Client-0.09|0.09|PASS
CouchDB-View|HDP|CouchDB-View-0.003|0.003|FAIL
Cpanel-JSON-XS|RURBAN|Cpanel-JSON-XS-4.06|4.06|PASS
Crypt-Argon2|LEONT|Crypt-Argon2-0.005|0.005|PASS
Crypt-Blowfish|DPARIS|Crypt-Blowfish-2.14|2.14|PASS
Crypt-CBC|LDS|Crypt-CBC-2.33|2.33|PASS
Crypt-Curve25519|AJGB|Crypt-Curve25519-0.06|0.06|PASS
Crypt-DES|DPARIS|Crypt-DES-2.07|2.07|PASS
Crypt-DH-GMP|DMAKI|Crypt-DH-GMP-0.00012|0.00012|PASS
Crypt-ECB|APPEL|Crypt-ECB-2.21|2.21|PASS
Crypt-Eksblowfish|ZEFRAM|Crypt-Eksblowfish-0.009|0.009|PASS
Crypt-Format|FELIPE|Crypt-Format-0.09|0.09|PASS
Crypt-IDEA|DPARIS|Crypt-IDEA-1.10|1.10|PASS
Crypt-JWT|MIK|Crypt-JWT-0.023|0.023|PASS
Crypt-MySQL|IKEBE|Crypt-MySQL-0.04|0.04|PASS
Crypt-OpenSSL-AES|TTAR|Crypt-OpenSSL-AES-0.02|0.02|PASS
Crypt-OpenSSL-Bignum|KMX|Crypt-OpenSSL-Bignum-0.09|0.09|PASS
Crypt-OpenSSL-DSA|KMX|Crypt-OpenSSL-DSA-0.19|0.19|PASS
Crypt-OpenSSL-Guess|AKIYM|Crypt-OpenSSL-Guess-0.11|0.11|PASS
Crypt-OpenSSL-RSA|TODDR|Crypt-OpenSSL-RSA-0.31|0.31|PASS
Crypt-OpenSSL-Random|RURBAN|Crypt-OpenSSL-Random-0.15|0.15|PASS
Crypt-OpenSSL-VerifyX509|CHRISA|Crypt-OpenSSL-VerifyX509-0.10|0.10|PASS
Crypt-OpenSSL-X509|JONASBN|Crypt-OpenSSL-X509-1.809|1.809|PASS
Crypt-PBKDF2|ARODLAND|Crypt-PBKDF2-0.161520|0.161520|PASS
Crypt-PasswdMD5|RSAVAGE|Crypt-PasswdMD5-1.40|1.40|PASS
Crypt-RC4|SIFUKURT|Crypt-RC4-2.02|2.02|PASS
Crypt-RIPEMD160|TODDR|Crypt-RIPEMD160-0.06|0.06|PASS
Crypt-Random|VIPUL|Crypt-Random-1.25|1.25|PASS
Crypt-Random-Seed|DANAJ|Crypt-Random-Seed-0.03|0.03|PASS
Crypt-Random-Source|ETHER|Crypt-Random-Source-0.14|0.14|PASS
Crypt-Random-TESHA2|DANAJ|Crypt-Random-TESHA2-0.01|0.01|PASS
Crypt-Rijndael|LEONT|Crypt-Rijndael-1.13|1.13|PASS
Crypt-SSLeay|NANIS|Crypt-SSLeay-0.72|0.72|PASS
Crypt-SaltedHash|GSHANK|Crypt-SaltedHash-0.09|0.09|PASS
Crypt-ScryptKDF|MIK|Crypt-ScryptKDF-0.010|0.010|PASS
Crypt-Sodium|MGREGORO|Crypt-Sodium-0.11|0.11|FAIL
Crypt-Twofish|AMS|Crypt-Twofish-2.17|2.17|PASS
Crypt-Twofish2|MLEHMANN|Crypt-Twofish2-1.02|1.02|PASS
Crypt-URandom|DDICK|Crypt-URandom-0.36|0.36|PASS
Crypt-UnixCrypt_XS|BORISZ|Crypt-UnixCrypt_XS-0.11|0.11|PASS
Crypt-X509|AJUNG|Crypt-X509-0.51|0.51|PASS
CryptX|MIK|CryptX-0.061|0.061|PASS
Curses|GIRAFFED|Curses-1.36|1.36|PASS
Curses-UI|MDXI|Curses-UI-0.9609|0.9609|PASS
Cwd-Guard|KAZEBURO|Cwd-Guard-0.05|0.05|PASS
DBD-CSV|HMBRAND|DBD-CSV-0.53|0.53|PASS
DBD-Mock|DICHI|DBD-Mock-1.45|1.45|PASS
DBD-ODBC|MJEVANS|DBD-ODBC-1.59|1.59|PASS
DBD-Pg|TURNSTEP|DBD-Pg-3.7.4|3.7.4|PASS
DBD-SQLite|ISHIGAKI|DBD-SQLite-1.58|1.58|PASS
DBD-XBase|JANPAZ|DBD-XBase-1.08|1.08|PASS
DBD-mysql|MICHIELB|DBD-mysql-4.048|4.048|PASS
DBI|TIMB|DBI-1.641|1.641|PASS
DBICx-Sugar|IRONCAMEL|DBICx-Sugar-0.0200|0.0200|PASS
DBICx-TestDatabase|JROCKWAY|DBICx-TestDatabase-0.05|0.05|PASS
DBIx-Admin-CreateTable|RSAVAGE|DBIx-Admin-CreateTable-2.10|2.10|PASS
DBIx-Class|RIBASUSHI|DBIx-Class-0.082841|0.082841|PASS
DBIx-Class-Candy|FREW|DBIx-Class-Candy-0.005003|0.005003|PASS
DBIx-Class-DeploymentHandler|FREW|DBIx-Class-DeploymentHandler-0.002222|0.002222|PASS
DBIx-Class-DynamicDefault|MSTROUT|DBIx-Class-DynamicDefault-0.04|0.04|PASS
DBIx-Class-EncodedColumn|WREIS|DBIx-Class-EncodedColumn-0.00015|0.00015|PASS
DBIx-Class-Fixtures|SKAUFMAN|DBIx-Class-Fixtures-1.001039|1.001039|PASS
DBIx-Class-Helpers|FREW|DBIx-Class-Helpers-2.033004|2.033004|PASS
DBIx-Class-InflateColumn-Authen-Passphrase|FLORA|DBIx-Class-InflateColumn-Authen-Passphrase-0.01|0.01|PASS
DBIx-Class-InflateColumn-FS|MMIMS|DBIx-Class-InflateColumn-FS-0.01007|0.01007|PASS
DBIx-Class-InflateColumn-Object-Enum|JMMILLS|DBIx-Class-InflateColumn-Object-Enum-0.06|0.06|PASS
DBIx-Class-InflateColumn-Serializer|MRUIZ|DBIx-Class-InflateColumn-Serializer-0.09|0.09|PASS
DBIx-Class-IntrospectableM2M|ILMARI|DBIx-Class-IntrospectableM2M-0.001002|0.001002|PASS
DBIx-Class-Migration|JJNAPIORK|DBIx-Class-Migration-0.060|0.060|PASS
DBIx-Class-PassphraseColumn|FLORA|DBIx-Class-PassphraseColumn-0.02|0.02|PASS
DBIx-Class-QueryLog|FREW|DBIx-Class-QueryLog-1.005001|1.005001|PASS
DBIx-Class-ResultSet-RecursiveUpdate|GSHANK|DBIx-Class-ResultSet-RecursiveUpdate-0.34|0.34|PASS
DBIx-Class-Schema-Config|SYMKAT|DBIx-Class-Schema-Config-0.001011|0.001011|PASS
DBIx-Class-Schema-Diff|VANSTYN|DBIx-Class-Schema-Diff-1.07|1.07|PASS
DBIx-Class-Schema-Loader|ILMARI|DBIx-Class-Schema-Loader-0.07049|0.07049|PASS
DBIx-Class-Schema-PopulateMore|JJNAPIORK|DBIx-Class-Schema-PopulateMore-0.19|0.19|PASS
DBIx-Class-TimeStamp|RIBASUSHI|DBIx-Class-TimeStamp-0.14|0.14|PASS
DBIx-Class-Tree|ABRAXXA|DBIx-Class-Tree-0.03003|0.03003|PASS
DBIx-Class-Tree-NestedSet|ICYDEE|DBIx-Class-Tree-NestedSet-0.10|0.10|PASS
DBIx-Class-UUIDColumns|ABRAXXA|DBIx-Class-UUIDColumns-0.02006|0.02006|PASS
DBIx-Connector|DWHEELER|DBIx-Connector-0.56|0.56|PASS
DBIx-ContextualFetch|TMTM|DBIx-ContextualFetch-1.03|1.03|PASS
DBIx-Custom|KIMOTO|DBIx-Custom-0.41|0.41|PASS
DBIx-DBSchema|IVAN|DBIx-DBSchema-0.45|0.45|PASS
DBIx-Handler|KARUPA|DBIx-Handler-0.14|0.14|PASS
DBIx-Inspector|TOKUHIROM|DBIx-Inspector-0.12|0.12|PASS
DBIx-Introspector|FREW|DBIx-Introspector-0.001005|0.001005|PASS
DBIx-RunSQL|CORION|DBIx-RunSQL-0.19|0.19|PASS
DBIx-Schema-DSL|SONGMU|DBIx-Schema-DSL-1.0000|1.0000|PASS
DBIx-Simple|JUERD|DBIx-Simple-1.37|1.37|PASS
DBIx-Skinny|NEKOKAK|DBIx-Skinny-0.0742|0.0742|FAIL
DBIx-Sunny|SONGMU|DBIx-Sunny-0.9991|0.9991|PASS
DBIx-TransactionManager|NEKOKAK|DBIx-TransactionManager-1.13|1.13|PASS
DBM-Deep|SPROUT|DBM-Deep-2.0016|2.0016|PASS
DJabberd|MART|DJabberd-0.85|0.85|FAIL
DOM-Tiny|MSTROUT|DOM-Tiny-0.005|0.005|PASS
Daemon-Control|SYMKAT|Daemon-Control-0.001008|0.001008|PASS
Daemon-Daemonize|ROKR|Daemon-Daemonize-0.0052|0.0052|PASS
Dancer|BIGPRESH|Dancer-1.3500|1.3500|PASS
Dancer-Plugin-DBIC|IRONCAMEL|Dancer-Plugin-DBIC-0.2104|0.2104|PASS
Dancer-Plugin-Database|BIGPRESH|Dancer-Plugin-Database-2.13|2.13|PASS
Dancer-Plugin-Database-Core|BIGPRESH|Dancer-Plugin-Database-Core-0.20|0.20|PASS
Dancer2|CROMEDOME|Dancer2-0.206000|0.206000|PASS
Dancer2-Plugin-Auth-Extensible|ABEVERLEY|Dancer2-Plugin-Auth-Extensible-0.705|0.705|PASS
Dancer2-Plugin-DBIC|IRONCAMEL|Dancer2-Plugin-DBIC-0.0100|0.0100|PASS
Danga-Socket|BRADFITZ|Danga-Socket-1.61|1.61|PASS
Data-Alias|ZEFRAM|Data-Alias-1.21|1.21|PASS
Data-Clean|PERLANCAR|Data-Clean-0.502|0.502|PASS
Data-Clean-JSON|PERLANCAR|Data-Clean-JSON-0.391|0.391|PASS
Data-Clone|GFUJI|Data-Clone-0.004|0.004|PASS
Data-Compare|DCANTRELL|Data-Compare-1.25|1.25|PASS
Data-Container|MARCEL|Data-Container-1.100840|1.100840|PASS
Data-Currency|DICHI|Data-Currency-0.06000|0.06000|PASS
Data-DPath|SCHWIGON|Data-DPath-0.57|0.57|PASS
Data-Decode|DMAKI|Data-Decode-0.00006|0.00006|FAIL
Data-Denter|INGY|Data-Denter-0.15|0.15|PASS
Data-Difflet|TOKUHIROM|Data-Difflet-0.11|0.11|PASS
Data-Diver|TYEMQ|Data-Diver-1.0101|1.0101|PASS
Data-Domain|DAMI|Data-Domain-1.06|1.06|PASS
Data-Dump|GAAS|Data-Dump-1.23|1.23|PASS
Data-Dump-Partial|SHARYANTO|Data-Dump-Partial-0.05|0.05|PASS
Data-Dump-Streamer|YVES|Data-Dump-Streamer-2.40|2.40|PASS
Data-Dumper-Concise|ETHER|Data-Dumper-Concise-2.023|2.023|PASS
Data-Entropy|ZEFRAM|Data-Entropy-0.007|0.007|PASS
Data-Faker|WSHELDAHL|Data-Faker-0.10|0.10|PASS
Data-Float|ZEFRAM|Data-Float-0.013|0.013|PASS
Data-FormValidator|DFARRELL|Data-FormValidator-4.88|4.88|PASS
Data-Format-Pretty|SHARYANTO|Data-Format-Pretty-0.04|0.04|PASS
Data-Format-Pretty-Console|PERLANCAR|Data-Format-Pretty-Console-0.38|0.38|PASS
Data-Format-Pretty-HTML|PERLANCAR|Data-Format-Pretty-HTML-0.11|0.11|PASS
Data-Format-Pretty-JSON|PERLANCAR|Data-Format-Pretty-JSON-0.12|0.12|PASS
Data-GUID|RJBS|Data-GUID-0.049|0.049|PASS
Data-Hexdumper|DCANTRELL|Data-Hexdumper-3.0001|3.0001|PASS
Data-Hierarchy|CLKAO|Data-Hierarchy-0.34|0.34|PASS
Data-ICal|ALEXMV|Data-ICal-0.22|0.22|PASS
Data-IEEE754|MAXMIND|Data-IEEE754-0.02|0.02|PASS
Data-Inherited|MARCEL|Data-Inherited-1.100860|1.100860|PASS
Data-Integer|ZEFRAM|Data-Integer-0.006|0.006|PASS
Data-JavaScript-Anon|ADAMK|Data-JavaScript-Anon-1.03|1.03|PASS
Data-Lazy|SAMV|Data-Lazy-0.6|0.6|PASS
Data-Localize|DMAKI|Data-Localize-0.00027|0.00027|PASS
Data-Lock|DANKOGAI|Data-Lock-1.03|1.03|PASS
Data-MessagePack|SYOHEX|Data-MessagePack-1.00|1.00|PASS
Data-MessagePack-Stream|TYPESTER|Data-MessagePack-Stream-1.04|1.04|PASS
Data-Miscellany|MARCEL|Data-Miscellany-1.100850|1.100850|PASS
Data-Munge|MAUKE|Data-Munge-0.097|0.097|PASS
Data-ObjectDriver|SIXAPART|Data-ObjectDriver-0.15|0.15|PASS
Data-OptList|RJBS|Data-OptList-0.110|0.110|PASS
Data-Page|LBROCARD|Data-Page-2.02|2.02|PASS
Data-Page-NoTotalEntries|TOKUHIROM|Data-Page-NoTotalEntries-0.02|0.02|PASS
Data-Pageset|LLAP|Data-Pageset-1.06|1.06|PASS
Data-Paginator|GPHAT|Data-Paginator-0.08|0.08|PASS
Data-Pairs|BBAXTER|Data-Pairs-0.07|0.07|PASS
Data-Password-Entropy|ZERO|Data-Password-Entropy-0.08|0.08|PASS
Data-Peek|HMBRAND|Data-Peek-0.48|0.48|PASS
Data-Perl|MATTP|Data-Perl-0.002009|0.002009|PASS
Data-Printer|GARU|Data-Printer-0.40|0.40|PASS
Data-Random|BAREFOOT|Data-Random-0.13|0.13|PASS
Data-Record|OVID|Data-Record-0.02|0.02|PASS
Data-Recursive-Encode|TOKUHIROM|Data-Recursive-Encode-0.06|0.06|PASS
Data-Rmap|BOWMANBS|Data-Rmap-0.65|0.65|PASS
Data-Rx|RJBS|Data-Rx-0.200007|0.200007|PASS
Data-Section|RJBS|Data-Section-0.200007|0.200007|PASS
Data-Section-Simple|MIYAGAWA|Data-Section-Simple-0.07|0.07|PASS
Data-Semantic|MARCEL|Data-Semantic-1.101620|1.101620|PASS
Data-Serializer|NEELY|Data-Serializer-0.60|0.60|PASS
Data-SimplePassword|RYOCHIN|Data-SimplePassword-0.11|0.11|PASS
Data-Stag|CMUNGALL|Data-Stag-0.14|0.14|PASS
Data-Stream-Bulk|DOY|Data-Stream-Bulk-0.11|0.11|PASS
Data-Structure-Util|ANDYA|Data-Structure-Util-0.16|0.16|PASS
Data-Swap|XMATH|Data-Swap-0.08|0.08|NA
Data-TemporaryBag|YSAS|Data-TemporaryBag-0.09|0.09|PASS
Data-Transformer|BALDUR|Data-Transformer-0.04|0.04|PASS
Data-Transpose|HORNBURG|Data-Transpose-0.0023|0.0023|PASS
Data-TreeDumper|NKH|Data-TreeDumper-0.40|0.40|PASS
Data-Types|MANWAR|Data-Types-0.14|0.14|PASS
Data-UUID|RJBS|Data-UUID-1.221|1.221|PASS
Data-UUID-MT|DAGOLDEN|Data-UUID-MT-1.001|1.001|PASS
Data-Unixish|PERLANCAR|Data-Unixish-1.56|1.56|PASS
Data-Util|SYOHEX|Data-Util-0.66|0.66|PASS
Data-Validate|SONNEN|Data-Validate-0.09|0.09|PASS
Data-Validate-Domain|DROLSKY|Data-Validate-Domain-0.14|0.14|PASS
Data-Validate-IP|DROLSKY|Data-Validate-IP-0.27|0.27|PASS
Data-Validate-Type|AUBERTG|Data-Validate-Type-v1.6.0|v1.6.0|PASS
Data-Validate-URI|SONNEN|Data-Validate-URI-0.07|0.07|PASS
Data-Validator|GFUJI|Data-Validator-1.07|1.07|PASS
Data-Verifier|MANWAR|Data-Verifier-0.62|0.62|PASS
Data-Visitor|DOY|Data-Visitor-0.30|0.30|PASS
Data-Walk|GUIDO|Data-Walk-2.01|2.01|PASS
Data-YAML|ANDYA|Data-YAML-0.0.7|0.0.7|PASS
DataFlow|RUSSOZ|DataFlow-1.121830|1.121830|PASS
Date-Calc|STBEY|Date-Calc-6.4|6.4|PASS
Date-Easter|RBOW|Date-Easter-1.22|1.22|PASS
Date-Exception|MANWAR|Date-Exception-0.04|0.04|PASS
Date-Holidays-Super|JONASBN|Date-Holidays-Super-0.04|0.04|PASS
Date-ISO8601|ZEFRAM|Date-ISO8601-0.005|0.005|PASS
Date-Leapyear|RBOW|Date-Leapyear-1.72|1.72|PASS
Date-Manip|SBECK|Date-Manip-6.72|6.72|PASS
Date-Range|TMTM|Date-Range-1.41|1.41|PASS
Date-Simple|IZUT|Date-Simple-3.03|3.03|PASS
Date-Utils|MANWAR|Date-Utils-0.23|0.23|PASS
DateTime|DROLSKY|DateTime-1.50|1.50|PASS
DateTime-Astro|DMAKI|DateTime-Astro-1.03|1.03|PASS
DateTime-Event-Cron|MSISK|DateTime-Event-Cron-0.09|0.09|PASS
DateTime-Event-ICal|FGLOCK|DateTime-Event-ICal-0.13|0.13|PASS
DateTime-Event-Random|FGLOCK|DateTime-Event-Random-0.03|0.03|PASS
DateTime-Event-Recurrence|FGLOCK|DateTime-Event-Recurrence-0.19|0.19|PASS
DateTime-Event-Sunrise|JFORGET|DateTime-Event-Sunrise-0.0505|0.0505|PASS
DateTime-Format-Atom|IKEGAMI|DateTime-Format-Atom-v1.2.0|v1.2.0|PASS
DateTime-Format-Builder|DROLSKY|DateTime-Format-Builder-0.81|0.81|PASS
DateTime-Format-CLDR|MAROS|DateTime-Format-CLDR-1.19|1.19|PASS
DateTime-Format-DBI|CFAERBER|DateTime-Format-DBI-0.041|0.041|PASS
DateTime-Format-DateManip|BBENNETT|DateTime-Format-DateManip-0.04|0.04|PASS
DateTime-Format-DateParse|JHOBLITT|DateTime-Format-DateParse-0.05|0.05|PASS
DateTime-Format-Duration|ETHER|DateTime-Format-Duration-1.04|1.04|PASS
