dist|perl-5.28.0.author|perl-5.28.0.distname|perl-5.28.0.distversion|perl-5.28.0.grade
MooseX-Types-DateTime-ButMaintained|ECARROLL|MooseX-Types-DateTime-ButMaintained-0.16|0.16|FAIL
MouseX-App-Cmd|ETHER|MouseX-App-Cmd-0.30|0.30|FAIL
Mozilla-DOM|SLANNING|Mozilla-DOM-0.23|0.23|FAIL
Music-Tag|EALLENIII|Music-Tag-0.4103|0.4103|FAIL
Net-Interface|MIKER|Net-Interface-1.016|1.016|FAIL
Net-LDAP-Server-Test|KARMAN|Net-LDAP-Server-Test-0.22|0.22|FAIL
Net-LibIDN|THOR|Net-LibIDN-0.12|0.12|NA
Net-Pcap|SAPER|Net-Pcap-0.18|0.18|FAIL
Net-Radius|LUISMUNOZ|Net-Radius-2.103|2.103|FAIL
OAuth-Lite|LYOKATO|OAuth-Lite-1.34|1.34|FAIL
OOTools|SKNPP|OOTools-2.4|2.4|FAIL
ORLite|ADAMK|ORLite-1.98|1.98|FAIL
Ogg-Vorbis-Header-PurePerl|DANIEL|Ogg-Vorbis-Header-PurePerl-1.0|1.0|FAIL
OpenGL|CHM|OpenGL-0.70|0.70|NA
Otogiri|YTURTLE|Otogiri-0.18|0.18|FAIL
PGPLOT|KGB|PGPLOT-2.21|2.21|NA
Paws|JLMARTIN|Paws-0.37|0.37|FAIL
Perl-Critic-Dynamic|THALJEF|Perl-Critic-Dynamic-0.05|0.05|FAIL
PerlIO-via-symlink|CLKAO|PerlIO-via-symlink-0.05|0.05|NA
Perlbal|DORMANDO|Perlbal-1.80|1.80|FAIL
Plucene|TMTM|Plucene-1.25|1.25|FAIL
Pod-Weaver-Section-GenerateSection|CDRAUG|Pod-Weaver-Section-GenerateSection-1.06|1.06|PASS
RPM4|TVIGNAUD|RPM4-0.38|0.38|FAIL
RPi-Const|STEVEB|RPi-Const-1.04|1.04|PASS
Ryu-Async|TEAM|Ryu-Async-0.009|0.009|FAIL
SQL-SplitStatement|EMAZEP|SQL-SplitStatement-1.00020|1.00020|FAIL
ShipIt|MIYAGAWA|ShipIt-0.60|0.60|FAIL
String-Diff|YAPPO|String-Diff-0.07|0.07|FAIL
Tcl|VKON|Tcl-1.05|1.05|FAIL
Template-Declare|ALEXMV|Template-Declare-0.47|0.47|FAIL
Term-ANSIScreen|AUDREYT|Term-ANSIScreen-1.50|1.50|PASS
Test-Block|ADIE|Test-Block-0.13|0.13|FAIL
Test-CheckChanges|GAM|Test-CheckChanges-0.14|0.14|FAIL
Test-Declare|NEKOKAK|Test-Declare-0.06|0.06|FAIL
Test-Group|DOMQ|Test-Group-0.20|0.20|FAIL
Test-NeedsDisplay|ADAMK|Test-NeedsDisplay-1.07|1.07|NA
Test-Pretty|TOKUHIROM|Test-Pretty-0.32|0.32|FAIL
Test-Unit|MCAST|Test-Unit-0.25|0.25|FAIL
Text-FIGlet|JPIERCE|Text-FIGlet-2.19.3|2.19.3|FAIL
Text-MeCab|DMAKI|Text-MeCab-0.20016|0.20016|FAIL
Text-Unaccent|LDACHARY|Text-Unaccent-1.08|1.08|FAIL
Tickit|PEVANS|Tickit-0.65|0.65|FAIL
Tie-Hash-Indexed|MHX|Tie-Hash-Indexed-0.05|0.05|FAIL
Time-Format|ROODE|Time-Format-1.12|1.12|FAIL
Tree-XPathEngine|MIROD|Tree-XPathEngine-0.05|0.05|FAIL
Type-Tiny-Signatures|AWNCORP|Type-Tiny-Signatures-0.06|0.06|FAIL
UNIVERSAL-ref|JJORE|UNIVERSAL-ref-0.14|0.14|FAIL
Unicode-Map8|GAAS|Unicode-Map8-0.13|0.13|FAIL
WWW-Curl|SZBALINT|WWW-Curl-4.17|4.17|FAIL
WWW-Dilbert|NICOLAW|WWW-Dilbert-1.19|1.19|FAIL
WWW-Mechanize-CGI|MRAMBERG|WWW-Mechanize-CGI-0.3|0.3|FAIL
WWW-VenusEnvy|NICOLAW|WWW-VenusEnvy-1.10|1.10|FAIL
WebService-Pushover|SHUFF|WebService-Pushover-v1.0.0|v1.0.0|FAIL
WordNet-QueryData|JRENNIE|WordNet-QueryData-1.49|1.49|NA
XML-Liberal|MIYAGAWA|XML-Liberal-0.30|0.30|FAIL
XML-RSS-Feed|JBISBEE|XML-RSS-Feed-2.4|2.4|PASS
XML-Stream|DAPATRICK|XML-Stream-1.24|1.24|FAIL
ZMQ-LibZMQ2|DMAKI|ZMQ-LibZMQ2-1.09|1.09|FAIL
ZeroMQ|DMAKI|ZeroMQ-0.23|0.23|FAIL
autobox-dump|COWENS|autobox-dump-20090426.1746|20090426.1746|PASS
invoker|CLKAO|invoker-0.34|0.34|FAIL
libapreq|ISAAC|libapreq-1.34|1.34|NA
podlinkcheck|KRYDE|podlinkcheck-15|15|PASS
